Month,heater,ice cream,heater_1d,ice cream_1d
2017-06-01,20,74,-1.0,14.0
2017-07-01,19,89,-1.0,15.0
2017-08-01,19,64,0.0,-25.0
2017-09-01,23,48,4.0,-16.0
2017-10-01,33,40,10.0,-8.0
2017-11-01,43,36,10.0,-4.0
2017-12-01,56,35,13.0,-1.0
2018-01-01,56,40,0.0,5.0
2018-02-01,33,42,-23.0,2.0
2018-03-01,27,51,-6.0,9.0
2018-04-01,24,56,-3.0,5.0
2018-05-01,22,71,-2.0,15.0
2018-06-01,21,79,-1.0,8.0
2018-07-01,21,91,0.0,12.0
2018-08-01,21,66,0.0,-25.0
2018-09-01,24,49,3.0,-17.0
2018-10-01,39,39,15.0,-10.0
2018-11-01,53,34,14.0,-5.0
2018-12-01,48,36,-5.0,2.0
2019-01-01,49,39,1.0,3.0
2019-02-01,39,42,-10.0,3.0
2019-03-01,30,53,-9.0,11.0
2019-04-01,24,57,-6.0,4.0
2019-05-01,23,65,-1.0,8.0
2019-06-01,22,82,-1.0,17.0
2019-07-01,21,100,-1.0,18.0
2019-08-01,21,68,0.0,-32.0
2019-09-01,24,51,3.0,-17.0
2019-10-01,40,40,16.0,-11.0
2019-11-01,56,36,16.0,-4.0
2019-12-01,46,36,-10.0,0.0
2020-01-01,41,43,-5.0,7.0
2020-02-01,34,45,-7.0,2.0
2020-03-01,25,44,-9.0,-1.0
2020-04-01,25,53,0.0,9.0
2020-05-01,27,70,2.0,17.0
2020-06-01,24,74,-3.0,4.0
